Christmas Stories from French and Spanish writers,Antoinette Ogden
Michael and His Lost Angel, Henry Arthur Jones
Weather Warnings for Watchers,  The Clerk
Cronaca della rivoluzione di Milano,  Leone Tettoni
Thomas More,Henriette Roland Holst van der Schalk
Kim,Rudyard Kipling
Poésies de Daniel Lesueur,  Daniel Lesueur 
Norman Macleod,  John Wellwood 
Alfried Krupp,  Herman Frobenius
The Intrusions of Peggy,  Anthony Hope
Private Spud Tamson,  R. W. Campbell
The Philosophy of Natural Theology,  William Jackson
A Treatise on Gunshot Wounds,  Thomas Longmore 
The Sanitary Evolution of London,  Henry Lorenzo Jephson
The Imprudence of Prue,  Sophie Fisher  
The Forest Schoolmaster,  Peter Rosegger
